語言	條目	字元數	發現路徑
en	Saint-Hippolyte, Haut-Rhin	29694	Category:Witch trials > Witch trials in Europe > Witch trials in France
en	Drude	29692	Category:European witchcraft > Witchcraft in Germany
en	Kuda-gitsune	29663	Category:European witchcraft > Familiars
de	Jean Bodin	29634	Kategorie:Hexenverfolgung > Täter der Hexenverfolgung > Hexentheoretiker
ja	霊魂	29612	Category:シャーマニズム
fr	Merlin (série télévisée)	29596	Catégorie:Sorcellerie > Magicien ou sorcier de légende > Merlin
en	Hell Girl	29587	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
zh	二十八宿	29570	Category:中國民間信仰 > 中国民间信仰神祇
en	Wario (series)	29545	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
de	Sophie im Schloss des Zauberers	29544	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei in Kunst und Literatur
fr	Malle Babbe	29533	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Sorcellerie dans la peinture
ja	アーヤと魔女	29531	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	The Ballad of the Witches' Road	29520	Category:Witchcraft > Fiction about witchcraft > Songs about witches
en	Feminist interpretations of witch trials in the early modern period	29494	Category:Witch trials
de	Flaschengeist	29481	Kategorie:Sagengestalt
ja	ある魔女が死ぬまで	29439	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした小説
fr	Opération peur	29420	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
ja	シャーマニズム	29409	Category:シャーマニズム
en	The Love Witch	29388	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	Eragon (personnage)	29369	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
ja	どきどき魔女神判!	29363	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
en	An American Haunting	29342	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
it	Skeletor	29311	Categoria:Stregoneria > Stregoni immaginari
zh	廣澤尊王	29307	Category:中國民間信仰 > 中国人物神
en	To the Devil a Daughter	29297	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Wandering Witch: The Journey of Elaina	29285	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
fr	The Mandela Catalogue	29277	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Diable dans la fiction
fr	Sabrina, l'apprentie sorcière (série télévisée)	29268	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
ru	Дайер, Молл	29253	Категория:Ведьмы
de	Drachenboot	29235	Kategorie:Sagengestalt > Fabelwesen > Drache
fr	Gellert Grindelwald	29233	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
it	Willow Rosenberg	29153	Categoria:Stregoneria > Streghe nelle opere di fantasia
ja	ネクロパンツ	29138	Category:呪術
zh	庄子	29133	Category:中國民間信仰 > 中国人物神
en	Pella curse tablet	29124	Category:European witchcraft
en	Etsy witches	29122	Category:Witchcraft > Modern witchcraft > Neopagan witchcraft
fr	Taram et le Chaudron magique	29121	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
ja	陰陽道	29100	Category:呪術 > 陰陽道
es	Espejo de Oesed	29083	Categoría:Brujería > Brujería en la ficción > Harry Potter
en	Babalon	29073	Category:Witchcraft > Incantation > Magic words
en	Addams Family Values	29055	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	John Proctor (Salem witch trials)	29037	Category:People executed for witchcraft > American people executed for witchcraft > People executed in the Salem witch trials
fr	Winx Club : La Magie est de Retour	29018	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
en	The Crucible (1996 film)	28932	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
zh	施琅	28926	Category:中國民間信仰 > 中国人物神
en	Witch hunts in India	28920	Category:Witchcraft > Witch hunting
en	Baba Yaga	28903	Category:European witchcraft > Witchcraft in Ukraine
en	Troll 2	28891	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
it	Mithra (Mahoutsukai no yakusoku - Promise of wizard)	28858	Categoria:Stregoneria > Stregoni immaginari
en	Curses of Cain and Ham (LDS Church)	28851	Category:Witchcraft > Curses
en	Boneghazi	28816	Category:Witchcraft > Modern witchcraft
zh	李文忠 (明朝)	28809	Category:中國民間信仰 > 中国人物神
en	That Hideous Strength	28794	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
en	The Witch and the Hundred Knight	28739	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
de	Die Besessenen von Aix-en-Provence	28732	Kategorie:Hexenverfolgung > Hexenverfolgung nach räumlicher Zuordnung
en	Hagrid's Magical Creatures Motorbike Adventure	28665	Category:Witchcraft > Fiction about witchcraft > Wizarding World
ja	魔女の夜宴 (プラド美術館)	28655	Category:魔女 > 魔女を題材とした作品
fr	Gandalf	28654	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
en	Burn the Witch (Radiohead song)	28613	Category:Witchcraft > Fiction about witchcraft > Songs about witches
en	Descendants 3	28593	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Brother and Sister	28530	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
ja	牛鬼	28526	Category:日本の妖怪 > 鬼
ja	オズの魔法使い (テレビアニメ)	28523	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	Eve's Bayou	28489	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	Malin Matsdotter	28448	Catégorie:Sorcellerie > Sorcellerie par lieu > Sorcellerie en Suède
en	Pittenweem witches	28440	Category:Witch trials > Witch trials in Europe > Witch trials in Scotland
en	The Sorcerer's Apprentice (2010 film)	28439	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Varahi	28413	Category:Witchcraft > Pig-faced women
en	Murong Chui	28395	Category:Witchcraft > Witch hunting
fr	Sorcier	28390	Catégorie:Sorcellerie
en	Witchcraft in Orkney	28371	Category:Witch trials > Witch trials in Europe > Witch trials in Scotland
en	Fear Street Part Two: 1978	28334	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Al-Mi'raj	28320	Category:Witchcraft > Asian witchcraft
de	Die tollkühne Hexe in ihrem fliegenden Bett	28296	Kategorie:Hexerei > Hexerei in der Kultur > Hexerei im Film
it	Illidan Grantempesta	28281	Categoria:Stregoneria > Stregoni immaginari
es	Posesiones de Aix-en-Provence	28254	Categoría:Brujería > Satanismo
ja	日蝕 (小説)	28223	Category:魔女 > 魔女を題材とした作品 > 魔女狩りを題材とした作品
en	Mary Hicks (alleged witch)	28222	Category:Witch trials > Witch trials in Europe > Witch trials in England
en	Castorice	28189	Category:Witchcraft > Curses > Fiction about curses
ja	天狗	28185	Category:日本の妖怪 > 天狗
ja	魔法少女ちゅうかなぱいぱい!	28180	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたテレビドラマ
it	Madoka Kaname	28167	Categoria:Stregoneria > Streghe nelle opere di fantasia
de	Jólakötturinn	28142	Kategorie:Sagengestalt
en	Monster in My Pocket	28108	Category:European witchcraft > Imps
en	Nine sorceresses	28054	Category:Witchcraft > Witchcraft in folklore and mythology
en	The Last Faust	28050	Category:Witchcraft > Witchcraft in folklore and mythology > Deal with the Devil
fr	Descendants 3	28027	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
it	Nobara Kugisaki	28020	Categoria:Stregoneria > Stregoni immaginari
en	The Witch (1916 film)	27989	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Phouoibi	27985	Category:Witchcraft > Witchcraft in folklore and mythology > Epic cycles of incarnations
en	Stonekeep	27970	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	Ars Notoria	27968	Category:Witchcraft > Grimoires
es	Beowulf y la Tierra Media	27952	Categoría:Brujería > Brujería en la ficción > Tierra Media
es	Kimpa Vita	27945	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
de	Beowulf	27907	Kategorie:Sagengestalt > Drachentöter
en	Würzburg witch trials	27902	Category:Witch trials > Witch trials in Europe > Witch trials in Germany
ja	エリクトー	27870	Category:魔女
de	Elwetritsch	27788	Kategorie:Sagengestalt > Deutsche Sagengestalt
fr	Blanche-Neige et le Chasseur	27788	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
it	Sakura Matō	27751	Categoria:Stregoneria > Stregoni immaginari
en	Epic Movie	27749	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ko	담배	27739	분류:샤머니즘 > 의식용 환각제
en	The Morrígan	27734	Category:Witchcraft > Witchcraft in folklore and mythology > Witches in folklore
en	Eye of the Devil	27730	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
es	Silvia Federici	27688	Categoría:Brujería > Estudiosos de la brujería
en	Ancient Jewish magic	27639	Category:Witchcraft > Grimoires > Jewish grimoires
es	Gran Bruja	27636	Categoría:Brujería > Brujos ficticios
en	George Lukins	27572	Category:Witchcraft > Curses > Demonic possession
es	Anorexia mirabilis	27515	Categoría:Brujería
es	Aradia o el evangelio de las brujas	27453	Categoría:Brujería
fr	Amandine Malabul	27446	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
it	Suguru Geto	27403	Categoria:Stregoneria > Stregoni immaginari
en	Chen Jiao	27389	Category:Witchcraft > Witchcraft by country > Witchcraft in China
es	Cruentación	27385	Categoría:Brujería > Ordalía
en	Ni no Kuni mobile games	27330	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	Picatrix	27306	Category:Witchcraft > Grimoires > Arabic grimoires
en	Tolkien's legendarium	27276	Category:Witchcraft > Fiction about witchcraft > Middle-earth
es	The Order (serie de televisión)	27274	Categoría:Brujería > Brujería en la ficción > Brujería en cine y televisión
fr	Negima ! Le Maître magicien	27270	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Sorcellerie dans la bande dessinée
en	Joseph Smith Hypocephalus	27268	Category:Witchcraft > Incantation > Book of the Dead
en	Trine 2	27266	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
it	Malefica	27263	Categoria:Stregoneria > Streghe nelle opere di fantasia
en	Practical Magic (franchise)	27230	Category:Witchcraft > Fiction about witchcraft
es	Gentile Budrioli	27220	Categoría:Brujería > Procesos por brujería > Ejecutados por brujería
en	The Falcon Pipiristi	27217	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
es	Sacrificio infantil en Uganda	27160	Categoría:Brujería > Satanismo > Delitos relacionados con el satanismo u ocultismo
en	East of the Sun and West of the Moon	27111	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
en	Narnia: The Magician's Nephew	27059	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
zh	谢安	27057	Category:中國民間信仰 > 中国民间信仰神祇
de	Siegfried der Drachentöter	27043	Kategorie:Sagengestalt > Drachentöter
es	Madoka Kaname	27032	Categoría:Brujería > Brujos ficticios
en	Bell, Book and Candle	27003	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ja	ミントゥチ	26998	Category:日本の妖怪 > 河童
fr	Paranormal Activity 4	26994	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Film sur la sorcellerie
de	Leviathan (Mythologie)	26986	Kategorie:Sagengestalt > Fabelwesen > Seeungeheuer
ja	純潔のマリア	26958	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	Castlevania: Bloodlines	26940	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	Fear Street Part Three: 1666	26914	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
de	Diana	26907	Kategorie:Hexenverfolgung
en	Little Nightmares	26874	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
fr	Société théosophique	26861	Catégorie:Sorcellerie > Organisation qui s'intéresse à la magie
en	Warlock (1989 film)	26857	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	The Secret Circle	26857	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
zh	財神	26849	Category:中國民間信仰 > 中国人物神
ja	十二支	26804	Category:呪術 > 陰陽道
it	Sabba	26793	Categoria:Stregoneria
it	Re stregone di Angmar	26778	Categoria:Stregoneria > Stregoni immaginari
fr	Drago Malefoy	26763	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
ja	落ちてきた龍王と滅びゆく魔女の国	26756	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした小説
en	Robert Cochrane (witch)	26752	Category:Witchcraft > Witches
es	Pizzagate	26726	Categoría:Brujería > Satanismo > QAnon
fr	Datura	26675	Catégorie:Sorcellerie > Plante utilisée en sorcellerie
en	Nyonin Kinsei	26666	Category:Witchcraft > Curses > Taboo
en	Grünkappe	26656	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
de	Matthäus Alber	26653	Kategorie:Hexenverfolgung > Gegner der Hexenverfolgung
en	Witchy Pretty Cure! The Movie: Wonderous! Cure Mofurun!	26644	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
en	Knights Contract	26644	Category:Witchcraft > Fiction about witchcraft > Video games about witchcraft
en	Ragnhild Tregagås	26595	Category:Witch trials > People accused of witchcraft > People convicted of witchcraft
fr	L'Apprenti sorcier (film, 2010)	26595	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
de	Hexe bei der Toilette für die Walpurgisnacht	26562	Kategorie:Hexerei > Hexe
fr	Paranormal Activity: The Marked Ones	26533	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Film sur la sorcellerie
ja	賀茂在昌	26500	Category:陰陽道 > 陰陽師
ja	サイン (占星術)	26482	Category:陰陽道 > 暦注
en	Witch (archetype)	26480	Category:Witchcraft > Fiction about witchcraft > Witchcraft in fairy tales
ko	신축민란	26465	분류:무속 > 무속의 역사
es	Chen Jiao	26456	Categoría:Brujería
en	Ushi no toki mairi	26443	Category:Witchcraft > Curses
fr	Mozenrath	26443	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Magicien ou sorcier de fiction
en	Mary and the Witch's Flower	26432	Category:Witchcraft > Fiction about witchcraft > Anime and manga about witchcraft
de	Werkatze	26422	Kategorie:Sagengestalt > Fabelwesen > Fabeltier
en	Curse of the pharaohs	26421	Category:Witchcraft > Curses
en	The Flying Dutchman (horse)	26393	Category:Witchcraft > Curses > Flying Dutchman
fr	La Bataille d'Endor	26389	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
en	Homunculus	26357	Category:Witchcraft
ko	셍굿무가	26349	분류:무속 > 도무습합
ja	ホーカス ポーカス	26327	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした映画作品
en	Wei Zifu	26323	Category:Witchcraft > Witchcraft by country > Witchcraft in China
en	The Witches (1990 film)	26313	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
zh	神农	26309	Category:中國民間信仰 > 中国人物神
